titulo,clip,veredicto,ov_propio,ov_prev,ov_next,audio_transcripto,texto_asignado
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0015,ok,0.600,0.000,0.200,entonces salimos de espacito y nos fuimos hacia la uy,entonces salimos despacito y nos fuimos hacia el auto
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0016,ok,0.533,0.067,0.133,que paso era en la silla mañana y pues ya hemos estado toda la noche en la jod,que paso eran las 6 de la mañana habiamos estado toda la noche en la joda
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0017,ok,0.667,0.000,0.000,no me psalda,yo en la joda no me comia nadie porque yo estaba full
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0018,ok,0.867,0.200,0.267,queria ir a la plaza con la mina yo estaba dando con la mina con la mina con la mina yo estoy como que medio yo estaba medio contento,queria ir a la plaza con la mina yo estaba con la mina con la mina con la mina entonces como que medio yo estaba medio contento
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0019,ok,0.714,0.238,0.143,y lo que me diamos era la plaza entonces le digo a mis amigos estamos en el auto y si vamos a una plaza,ibamos a ir a la plaza entonces le digo a mis amigos cuando estabamos en el auto y si vamos a una plaza
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0020,ok,0.786,0.214,0.143,aplino mirad asi es la mañana y en año nuevo hasta la 12 nos paras,y nos miraron asi eran las 6 de la mañana y en año nuevo hasta las 12 no paras
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0021,texto_dudoso,0.400,0.267,0.200,otra si fumo es a la plaza que de hecho en la plaza son las busquedas de la mina,entonces fuimos a la plaza que decis yo en la plaza yo la busque a la mina
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0022,texto_dudoso,0.429,0.071,0.357,y no esta sino de gente de este vero que las plazas se recongren renunccionos,estaba lleno de gente viste vieron que las plazas se recontra re muy llena
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0023,ok,0.917,0.250,0.333,entonces yo la busque la busque la busque no la encontramos y siempre las plazas se pico,entonces yo la busque la busque la busque no la encontramos y siempre en las plazas se pica
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0024,ok,0.769,0.231,0.231,eran asi time a la mañana y ya se empezaron a desconocer los vagos,eran las 7 y media de la mañana y ya se empezaban a desconocer los vagos
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0025,texto_dudoso,0.273,0.273,0.091,se tiramos techa peña que es el beso de la policia,se tiraban botellas piñas empezo a caer la policia
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0026,ok,0.800,0.067,0.333,y yo le digo a mis amigos vayan a dar cada despacito porque nos van a matar,y yo le digo a mis amigos amigos vayamonos de aca despacito porque nos van a matar
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0027,ok,0.588,0.235,0.176,nos van a matar pues ya estaban desconocino absolutamente todos todos los grupos se estan empezando a quedar a pinchar,nos van a matar porque se estaban desconociendo absolutamente todos todos los grupitos se estaban empezando a cagar a piñas
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0028,texto_dudoso,0.412,0.235,0.118,y finalmente a pesar de no me llaman nosotros no me van a matar entonces eso dije amigos basamos nos,literalmente apenas nos venian a nosotros nos iban a matar entonces yo dije amigos vayamonos
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0029,texto_dudoso,0.429,0.143,0.286,que ya estamos a tiempo no estamos siendo no estamos siendo,todavia estamos a tiempo nos estabamos yendo nos estabamos yendo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0030,ok,0.714,0.071,0.143,caminando empiezan a tirar vuque chauzo a tra nuestro no no quiero mandarlo al frente a los,caminando empiezan a tirar botellas atras nuestro no quiero mandarlo al frente a gonza
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0031,ok,0.750,0.125,0.188,pero amigo guns empieza a correr y le digo no corre a san mio no corre a que no van a matar,pero amigo gonza empieza a correr y le digo no corras amigo no corras que nos van a matar
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0032,ok,0.923,0.231,0.154,si vos correz todos los negros van a ver que estas corriendo que estas asustado,si vos corres todos los negros van a ver que estas corriendo que estas asustado
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0033,texto_dudoso,0.462,0.154,0.385,y no van a votar y digo vamos a no corran no corran no corran no corran pagan piezas con rica un,y nos van a matar y le digo gonza no corras no corras no corras pa empiezas a correr como un desaforado
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0034,ok,1.000,1.000,0.333,y no nos van a matar nos van a matar,y le digo no nos van a matar nos van a matar y le digo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0035,texto_dudoso,0.364,0.091,0.273,yo me sacabrie de espacio con el comio otro mio y otro mio,yo empece a caminar despacio con mi otro amigo y otro amigo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0036,ok,0.846,0.154,0.154,y vos empieza a correr hacia el auto de una manera muy desafrada,y gonza empieza a correr hacia el auto de una manera muy desaforada
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0037,ok,0.750,0.150,0.450,pues yo que nosotros bueno ya vamos a la auto ya estaba ahi algo paso en el medio que no me acuerdo,cuestion que nosotros bueno llegamos al auto gonza ya estaba ahi algo paso en el medio que no me acuerdo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0038,ok,0.875,0.375,0.062,porque yo estaba medio un pedo pero pasado algo picante que ah si ahi me acorde,porque yo estaba medio en pedo pero paso algo picante que paso que ah si ahi me acorde
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0039,ok,0.750,0.083,0.333,estamos yendo hacia el auto y mi amigo es medio de escanso,estabamos yendo hacia el auto estabamos yendo hacia el auto y mi amigo en medio de descanse
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0040,ok,0.529,0.118,0.059,con la mia que estaba nuevo nos esta hace que al auto y pasa un flaco pasa un 2 flacos,con el amigo que estaba no gonza gonza estaba cerca del auto y pasa un flaco pasan dos flacos
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0041,ok,0.600,0.200,0.600,y te una tenia una remera de perritos que ni una remera de perrito,y uno tenia una remera de perritos tenia una remera de perritos
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0042,ok,0.667,0.267,0.067,y no se que le dicen mi amigo que ah de no es una remera del perrito,y no se que le dice mi amigo que tenes una remera de perritos
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0043,ok,0.636,0.091,0.455,como el sino que estaba a piola pero como que estaba a medio un peorcho,como diciendo que estaba piola pero como que estaba medio en pedo el chabon
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0044,ok,0.833,0.167,0.167,como que se lo dijo con un tono de escansero amigo el chavon de perritos empieza a purar a mi a mi a mi,como que se lo dijo con un tono de descanse amigo el chabon de perritos empieza a apurar a mi amigo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0045,ok,0.667,0.250,0.083,amigo es que te pasa luego que es que me empezo a abardiar la concha,eh que te pasa loco es que me empezas a bardear la concha de tu madre
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0046,ok,0.615,0.154,0.154,yo no puede ser lo que esta hecho esta miada lo quieren cara a pie,yo digo no puede ser loco esta noche esta miada nos quieren cagar a pias
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0047,ok,0.500,0.000,0.125,todo el mundo que diga ahora pi asi como que mio lo que casi se hagan en las piñas entre mi amigo y el chavon de perrito,todo el mundo nos quiere cagar a pias hoy entonces como que me dio como que casi se agarran a pias entre mi amigo y el chabon de perritos
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0048,ok,0.818,0.182,0.091,yo lo tuve separar como 15 minutos me acuerdo poco ina,yo lo tuve que separar tuvo 15 minutos me acuerdo poco y nada
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0049,texto_dudoso,0.000,0.000,0.000,el takim delono abrilances reactions el,porque yo estaba recontra remil en pedo sabri cortes la concha de tu madre
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0050,ok,0.700,0.100,0.100,muchas gracias por ese costazo mido por mandarme a tu gente,muchas gracias por ese hostazo amigo por mandarlo a tu gente de verdad
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0051,ok,0.727,0.182,0.000,alegria muchisimas gracias veros de todo el corazon  justo estaba contando,muchisimas gracias de verdad de todo corazon justo estaba contando los amiguitos
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0052,drift_prev,0.000,0.250,0.000,lagen de vaccin ymaxtsoYong,la anecdota cuando fui a valtelo por primera vez loco
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0053,ok,0.533,0.067,0.333,y casi nos quedaron trampadas muchas veces si es lo que muchas gracias por tu cosa,que casi nos cagaron trompadas muchas veces che loco muchas gracias por tu host amigo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0054,ok,0.714,0.143,0.214,de verdad muchas gracias asi bueno lo separan los flakos y fuimos a la,de verdad muchas gracias ah si bueno lo separe a los flacos y fuimos al auto
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0055,ok,0.778,0.167,0.000,entonces estamos en los 4 del auto estaban todos medio dormidos porque llegan las 9 de la mañana,entonces estabamos los cuatro en el auto estaban todos medio dormidos porque ya eran las 9 de la mañana
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0056,ok,0.800,0.067,0.333,y me mira mami de y me dice que hacemos bueno vamos a comer leido vamos al mcdonalds,y me mira mi amigo y me dice que hacemos bueno vamos a comer le digo vamos al mcdonalds
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0057,ok,0.727,0.364,0.091,vamos al mcdonalds clasical en mcdonalds ta llena de gente y en el mcdonalds,vamos al mcdonalds el mcdonalds esta lleno de gente y en el mcdonalds
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0058,ok,0.526,0.053,0.368,cho queria ver mi panamina yo estaba hablando con la mina por whatsapp y les voy a ver a mono ve a mono ve a mono ve a mono,yo queria verme con la mina yo estaba hablando con la mina por whatsapp y le decia veamonos veamonos veamonos
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0059,ok,0.750,0.200,0.150,y no seria como en cara para ir a ver a la mina entonces como que mi amigos estaba comiendo a los mcdonalds,y no sabia como encarar para ir a ver a la mina entonces como que mi amigo se estaba comiendo al mcdonalds
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0060,ok,0.882,0.294,0.294,gonza y otro mas se estaban por ir llamando nuberse van y yo me quedo con mi amigo,gonza y otro mas estaban por ir llaman un uber se van y yo me quedo con mi amigo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0061,ok,1.000,0.312,0.125,me quedo solo con mi amigo es lo que voy a decir no es lo mejor del mundo,me quedo solo con mi amigo lo que voy a decir no es lo mejor del mundo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0062,ok,0.600,0.200,0.100,pero yo no es asi estoy mirado de repentido pero bueno,pero yo yo lo hice asi estoy medio arrepentido pero bueno es asi
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0063,ok,0.667,0.000,0.133,solo digo a mi amigo che loco tengo dos minas que no tiene una rana,yo le digo a mi amigo che loco tengo dos minas que nos tienen unas ganas
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0064,ok,0.765,0.176,0.118,no quieren ver vayamos ya nos estan empeando en la casa mi amigo se termina de amor,nos quieren ver vayamos ya nos estan esperando en la casa mi amigo se termina la hamburguesa
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0065,texto_dudoso,0.333,0.167,0.333,papa papa papa papa papa papa papa papa si tu me la coca,papas papas papas papas volando se come las papas se toma la coca
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0066,ok,1.000,0.077,0.231,me dice vamos vamos vamos nos subimos al auto y vamos a la casa de la mina,me dice vamos vamos vamos nos subimos al auto y vamos a la casa de la mina
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0067,ok,1.000,0.273,0.182,que pasa cuando la mina sale mi amigo me mira asi,que pasa cuando la mina sale mi amigo me mira asi
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0068,ok,0.909,0.182,0.000,y me dice che y la amiga claro no habia mia la mia no existia,y me dice che y la amiga claro no habia amiga la amiga no existia
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0069,ok,0.833,0.000,0.167,solamente a mi amigo muy mal,yo le menti a mi amigo muy mal
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0070,ok,0.917,0.167,0.167,para que vaya a pasar a buscar a la mina y yo te con la mina,para para que vaya a pasar a buscar a la mina y yo estoy con la mina
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0071,ok,0.800,0.200,0.100,y bueno el lo esta muy malo que hice pero bueno,y bueno el lo esta muy mal lo que dice pero bueno
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0072,ok,0.600,0.000,0.200,a mi no beholden asi,a mi me paso asi entonces mi amigo me mira mi amigo me mira y me dice
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0073,ok,0.727,0.091,0.273,lei salamina que y tu amiga y como que la mio se quedo,le dice a la mina che y tu amiga y como que la mina se quedo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0074,texto_dudoso,0.429,0.286,0.286,como que a mi adene tipo a suiva yo vine por por tome y de mes,como que amiga entendes tipo yo iba yo vine por por todo me entendes
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0075,drift_next,0.167,0.083,0.333,baixe y gue se me va a vuelko queher pongo ktorevo la,y que se yo bueno cuestion que que como que
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0076,ok,0.857,0.143,0.357,que mi amigo siguio cuenta de la situacion y me dice al mas cercano me dice,mi amigo se dio cuenta de la situacion y me dice al mas cercano me dice
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0077,ok,0.909,0.364,0.000,y le digo si fuimos al kilo mas cercano que ahi,y le digo si fuimos al telo mas cercano que hay ahi
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0078,texto_dudoso,0.000,0.077,0.038,hasta la henchXing  if no ve que miki eeey sana la moturbGuang book bueno al todo no te exploding no me tenn erros con el puñero caen las pasas,ehhh muchas gracias por su sub muchas gracias amigo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0079,texto_dudoso,0.000,0.000,0.000,no ve vixan ve vixan ve vixan,baby shark baby shark me suscribiste amigo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0080,ok,0.538,0.000,0.154,y van arg y accedida muchas veces por su horro bueno fuimos al ti,ivan ark y axelino muchas gracias por su follow bueno fuimos al telo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0081,ok,0.692,0.154,0.462,la mina en traetilo y eso le digo mi amigo por yo reviso mi,la mina entra al telo y yo le digo a mi amigo porque yo reviso mi
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0082,ok,0.643,0.286,0.214,me hizo reviso mi bolsillo y no tenia un mango mas esto la venteriza no me,yo reviso mis bolsillos y no tenia un mango me acerco a la ventanilla de mi amigo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0083,texto_dudoso,0.471,0.176,0.235,y lei yo le imprensas trata asi lei una empresa en vistas no tengo para pagar el entero,y le digo le prestas plata asi le digo me prestas guita porque no tengo para pagar el telo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0084,ok,0.579,0.211,0.211,de los litras se le va a duro oh yo me dice que no no tiene tata que eso y dios,literal se le iba a doler obvio y me dice que no no tiene plata que de yo y le digo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0085,ok,0.636,0.182,0.182,bueno voy a intentar con la tarjita en trotiro de eso,bueno voy a intentar con la tarjeta entro el telo que de yo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0086,ok,0.750,0.375,0.125,no aceptaba el tarjeta era todo con efectivo,no asentaba la tarjeta era era todo con efectivo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0087,ok,0.625,0.125,0.062,yo la concha y no hay de ti una mina blocada a la calzado y no me la puedo coger,y digo la concha de mi madre tengo una mina explotada aca al lado y no me la puedo coger
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0088,ok,0.750,0.083,0.167,tampoco te muerros entonces que hago amigos obviamente le iba a mi,tampoco tenia forros entonces que hago amigos obviamente le digo a mi amigo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0089,ok,0.500,0.333,0.500,amigo se llama a mi casa pero mi amigo muy bueno amigos solo revango,amigo lleame a mi casa claro mi amigo muy bueno mi amigo yo lo rebanco
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0090,ok,0.786,0.286,0.357,mi amigo me dice no mi amigo piensa bueno se le alaco genero en su casa,mi amigo me dice no mi amigo piensa bueno se la va a coger en su casa
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0091,ok,0.722,0.333,0.056,y bueno no tiene plata para el tilo ni forros si la ha sido su casa y se la coge,bueno no tiene plata para el telo ni forro se la lleva a su casa y se la coge
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0092,ok,0.769,0.154,0.077,cuestion que fuimos a mi casa era un electro mi casa o sea 15 guarda,cuestion que fuimos a mi casa era re lejos mi casa o sea 15 cuadras
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0093,texto_dudoso,0.263,0.105,0.105,por que cuando me fui tu y eran la duas para que te hubo unidad era en la solse de miologia,para que se den una idea y eran las para que se den una idea eran las 11 de mediodia
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0094,ok,0.643,0.143,0.429,te daño nuevo que vamos a mi casa y le digo mi amigo que darte aca,de año nuevo llegamos a mi casa y le digo mi amigo quedaste aca le digo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0095,texto_dudoso,0.250,0.188,0.125,que vio le digo alive que ahora que diante aca que tu hubieres con un cara del platy fort,le digo que no que que quedaste aca que voy a buscar plata y forro
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0096,texto_dudoso,0.143,0.071,0.000,entonces yo libro yo ntbi season tokyo emergency juggling importdesu nonosti no en polls jokk,le digo entonces yo entro entro a mi casa agarro plata
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0097,ok,0.500,0.300,0.000,a los raforros entra en auto y le digo volvamos le digo,agarro forros entro al auto y le digo volvamos le digo si
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0098,ok,0.684,0.053,0.158,si soy una basura pero era el mejor amigo del mundo mio posta que me reconte a remiro anco,soy una basura pero era el mejor amigo del mundo amigo posta que me contrarrevie el banco
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0099,texto_dudoso,0.133,0.133,0.067,el ampl hanim concilio rara eh como yo de motos me dedo en siato de tido,y se lo re agradezco boludo tipo mi amigo me llevo el telo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0100,ok,0.545,0.182,0.364,venga me show a la mina depamme me show al teilo depamme me show mi cas,te ves mi amigo me llevo a la mina despues me llevo al telo despues me llevo a mi casa
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0101,texto_dudoso,0.182,0.000,0.182,hoy yo siempre se ha sentido o sea uujo es records,y despues al telo o sea un genio cuestion que pa ya tenia la plata me despido de mi amigo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0102,ok,0.857,0.286,0.071,ya amigo como buen amigo que es me dijo que se te pare pues si no se te pare,mi amigo como buen amigo que es me dijo que se te pare porque si no se te para
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0103,ok,0.600,0.000,0.100,el mejor cosija de mundo tipo paradaggyeoEr eto sin nervios,cagaste me dice el mejor consejo del mundo tipo para guau ahora entro sin nervios
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0104,ok,0.562,0.125,0.312,si muchas gracias por lo que nos dijo ahora como que se me fue fue un fogo lo nervio,eh muchas gracias por tu consejo ahora como que se me fue uf todos los nervios
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0105,texto_dudoso,0.065,0.032,0.032,lesslie uso hindicus si esopy que eran un vis ofsu y ons asi formaron las cuintas barras un documenting mir henrias significantes horonom yechanas enemigos y creerdzas ser mucho woofody bim clumsy doo,entendes uf me dijo ese consejo y dije la concha de verdad que ahora ya no se me para
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0106,ok,0.500,0.100,0.150,pero bueno yo te da rescadre en si lo voy a ir a un que pago todo el tilo en ese momento,pero bueno yo estaba re escabio encima cuestion que pago todo el telo en ese momento
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0107,ok,0.556,0.222,0.000,el tilo salia a coger creo que una lucha salia,el telo salia creo que una luca salia  yo cuando entre al telo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0108,ok,0.667,0.000,0.167,no puedo creer nunca vieron pelo no puedo creer,dije no lo puedo creer nunca vi en un telo dije no lo puedo creer
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0109,drift_next,0.000,0.000,0.250,me vay to deficits,donde estoy tengo un una mina re contra remiel explotada no
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0110,ok,0.714,0.071,0.143,no opito yo no lo voy a creer yo me quedaba al chilo me miraba a las manos,donde estoy yo no me lo podia creer yo miraba al cielo me miraba a las manos
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0111,ok,0.714,0.143,0.286,por si era un sueneo me pesiscaba entramos al ascensor porque ven ascensor del telo,por si era un sueño me pellizcaba entramos al ascensor porque hay un ascensor en el telo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0112,texto_dudoso,0.438,0.000,0.188,y la sesor no se se entra a una de esos utilo esta como medio pagado todo,el ascensor no se si no se si entraron alguna vez a un telo esta como medio apagado todo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0113,texto_dudoso,0.182,0.182,0.000,todo todo todas zheng fireworks lado concluso el tecven last 6 whoo,todo el lugar esta medio apagado con luces tenues tipo estas que estan aca
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0114,ok,0.667,0.000,0.083,capes los son rojas entonces subimos era un tela de tres pizzes,pero son rojas entonces subimos pupupupupu era un telo de tres pisos
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0115,ok,0.500,0.000,0.250,que se hiciera bastante chendo veo la habitacion y yo yo esta video,si era bastante cheto veo la habitacion y digo no esta es mia
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0116,texto_dudoso,0.333,0.333,0.000,es el diopero,digo esta es mi habitacion digo yo no podia creer punta tarjetita electronica
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0117,texto_dudoso,0.000,0.000,0.000,ib lip ahora enfu dy elbirth boot tu o fra,pipip abro la puerta no amigo habia una una bañera
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0118,ok,0.500,0.250,0.125,una bucha una cama chocolate sin la el almuerzo,una ducha una cama chocolate en la en la almohada
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0119,ok,0.500,0.167,0.167,un lett digo no no la pa que me reconte en el panio,un led digo no la puta que me recontarremil pario
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0120,ok,0.769,0.077,0.231,donde estoy cuestionamos peso que va a haber eso que viene el mejor polvo,donde estoy cuestionamos peso que va peso que viene el mejor polvo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0121,ok,0.923,0.231,0.154,bueno no fue el mejor polvo de mi vida no fue el mejor polvo de mi vida pero fue el topolgo de año nuevo,bueno no fue el mejor polvo de mi vida no fue el mejor polvo de mi vida pero fue alto polvo de año nuevo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0122,ok,0.615,0.077,0.077,amigos solo lo puede creer fuera a piedad que fue un telo increible solo lo puede creer,amigos yo no lo podia creer fue la primera vez que fue un telo increible yo no lo podia creer
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0123,texto_dudoso,0.000,0.100,0.000,tutrobreroimos embal spielenlympicino o la llegada de israel bajar la llegada de federalom,yo me sentia que estaba en en en disneyland entendes me sentia que estaba
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0124,texto_dudoso,0.000,0.000,0.000,amazed so asulado,no se como se llama disney plus como menos si es ese lugar disneyland bueno y posta
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0125,ok,0.667,0.333,0.222,y de ese dia tipo no de la caba telebro,yo no lo podia creer y desde ese dia tipo donde la acabaste le pregunte
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0126,ok,0.600,0.133,0.133,crabi o sea yo estuve en el tico de la 12 de mi odia hasta la estrela,cravi o sea yo estuve en el telo desde las doce del mediodia hasta las tres de la tarde
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0127,texto_dudoso,0.462,0.154,0.077,de la niña nuno tipo no dormi nada tipo le digo un baton de anos,en año nuevo tipo no dormi nada tipo le di bomba toda la noche
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0128,ok,0.545,0.182,0.273,presiden todo todo todo toda la planta que mousse y cuando fiel tilo,aprecie todo todo toda la plata que puse y cuando fui al telo
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0129,ok,0.533,0.200,0.133,y lo me enamore desde lo con toda la vida de conocimiento y de un te lo quiero de un te lo sea,me enamore del telo con toda la vida que conocia queria ir a un telo queria ir a un telo o sea
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0130,texto_dudoso,0.385,0.192,0.038,obviamente cuando la mina queria pero pua mio esta buenisimo yo he lo mejor del mundo la pasaba bien si o si en si mas tenes servicio a la habitacion,obviamente cuando la vida queria no pero buah pero si encima tenes servicio en la habitacion
La PRIMERA VEZ que fui a un TEL0 - ANECDOTA Tomas,clip_0131,ok,0.571,0.000,0.071,que son para que tragan champagne cualquier pelo tuve que sea cuestion que sigo volvi me enamore,para que traigan champan cualquier pelotudez que sea cuestion que si volvi me enamore
